1 0 2.4303353965623526 	 great
1 1 2.293264303332921 	 love
1 2 1.6538075485742116 	 awesome
1 3 1.6319036321444949 	 excellent
1 4 1.522587704298627 	 just wanted
1 5 1.4895418712907869 	 amazing
1 6 1.4069588804605107 	 perfect
1 7 1.3456472803217634 	 t disappointed
1 8 1.3361529916556063 	 beautiful
1 9 1.3179334079906486 	 loved
1 10 1.254392050823229 	 glad
1 11 1.2198047504313558 	 easy
1 12 1.197692409294509 	 wonderful
1 13 1.172119480049901 	 heard
1 14 1.1623801259648872 	 better original
1 15 1.1262262163517744 	 t wrong
1 16 1.1051404307271484 	 fun
1 17 1.092643968635843 	 fantastic
1 18 1.0087351430777591 	 classic
1 19 1.0063978852979623 	 favorite
1 20 0.9792107354933596 	 enjoy
1 21 0.9064271168128522 	 nice
1 22 0.889807185253928 	 won t disappointed
1 23 0.8877844097467612 	 best
1 24 0.8863802851251805 	 exactly
1 25 0.8861969146658943 	 day
1 26 0.8664887362571972 	 year
1 27 0.8604689767474611 	 thank
1 28 0.8578940303382718 	 just wa looking
1 29 0.8548891559850028 	 happy
1 30 0.8450222175633361 	 pleased
1 31 0.8338840517969697 	 finally
1 32 0.8089985430336847 	 enjoyed
1 33 0.7961700080996792 	 worth money
1 34 0.7889266704756948 	 t stop
1 35 0.7771347602297917 	 disappoint
1 36 0.7606236226754138 	 good
1 37 0.7597910390749207 	 really like
1 38 0.7587785401648097 	 life
1 39 0.7557785099213975 	 solid
1 40 0.7503438947821373 	 saw
1 41 0.7455458282025257 	 surprised
1 42 0.7320259362185207 	 t better
1 43 0.7295895640523565 	 head
1 44 0.7279837254823796 	 just expected
1 45 0.7124301945006384 	 definitely
1 46 0.7066776756176065 	 incredible
1 47 0.6979763220342232 	 catchy
1 48 0.6976037961740698 	 didn t know
1 49 0.6905191799432093 	 collection
1 50 0.6883925811770795 	 better expected
1 51 0.6855816717409268 	 highly
1 52 0.6795719279310899 	 wait
1 53 0.6790109549535462 	 unique
1 54 0.6767501519181781 	 t wait
1 55 0.668785077690895 	 job
1 56 0.6663681430726432 	 liked
1 57 0.6600687486874971 	 smooth
1 58 0.6597265858487853 	 true
1 59 0.6594822144441094 	 lovely
1 60 0.6541698553145956 	 recently
1 61 0.6501543381293755 	 upbeat
1 62 0.64907416437158 	 perfectly
1 63 0.6429949686869307 	 today
1 64 0.6403124056181763 	 new
1 65 0.6388752292299087 	 thanks
1 66 0.6318133819549139 	 rock
1 67 0.6260270539101571 	 satisfied
1 68 0.6221759409308116 	 brings
1 69 0.6218293891221949 	 t beat
1 70 0.6126485911541016 	 really good
1 71 0.6094816801239158 	 easy download
1 72 0.6075972690549797 	 just wa
1 73 0.6072195149327625 	 just wish
1 74 0.6042104695683537 	 beautifully
1 75 0.6000740360737458 	 enjoying
1 76 0.5992733788411295 	 bad song
1 77 0.5988112475749995 	 car
1 78 0.598643215977519 	 great album
1 79 0.5960389814117861 	 moving
1 80 0.594476405273999 	 nicely
1 81 0.5943407714958988 	 fresh
1 82 0.5902952986297267 	 soothing
1 83 0.5891898882025293 	 powerful
1 84 0.5849643357601648 	 refreshing
1 85 0.5824061074584367 	 best version
1 86 0.5804683102270637 	 haunting
1 87 0.5759494067701102 	 heard song
1 88 0.5698803559091394 	 recommended
1 89 0.5649225858450465 	 t sure
1 90 0.5648411422194995 	 s alright
1 91 0.5611157911524348 	 wa easy
1 92 0.5561639849503791 	 bad thing
1 93 0.5499269144990986 	 mp player
1 94 0.5485717585043532 	 complaint
1 95 0.5472125126587882 	 outstanding
1 96 0.5451535307350772 	 highly recommend
1 97 0.5451528261278596 	 wasn t sure
1 98 0.5446235151052361 	 especially
1 99 0.5445464599716984 	 sweet
1 100 0.5402908880763367 	 god
1 101 0.536593094058689 	 soulful
1 102 0.5355764895238165 	 doesn t better
1 103 0.5329030361439541 	 blue
1 104 0.530219602775936 	 enjoyable
1 105 0.5265507587758422 	 reminds
1 106 0.5253794749190108 	 hooked
1 107 0.5238504914300166 	 t star
1 108 0.5232476069578563 	 metal
1 109 0.5228961136890568 	 wa happy
1 110 0.5138148461525331 	 superb
1 111 0.5105079149073085 	 fabulous
1 112 0.5063469009018261 	 song didn t
1 113 0.5062272960472491 	 song didn
1 114 0.505559116086978 	 mood
1 115 0.504966649893711 	 brilliant
1 116 0.5046168320856523 	 good quality
1 117 0.501678844155007 	 like
1 118 0.5006821383788166 	 hearing
1 119 0.49821264439665386 	 discovered
1 120 0.4979903878324806 	 cool
1 121 0.49593348706862145 	 time
1 122 0.49517599056393363 	 speaks
1 123 0.49474135593876717 	 watched
1 124 0.4939503670237827 	 music download
1 125 0.49392539885078396 	 check
1 126 0.4898815052182044 	 relaxing
1 127 0.4883338665812844 	 definitely worth
1 128 0.48774243431646436 	 early
1 129 0.48718811457479305 	 worth
1 130 0.4871581764753178 	 exactly expected
1 131 0.48529398821674363 	 course
1 132 0.484355532528928 	 modern
1 133 0.4826170386892851 	 just like
1 134 0.4774217671246619 	 doesn t like
1 135 0.4772747006354615 	 dope
1 136 0.47704491782822794 	 game
1 137 0.47668990798487126 	 morning
1 138 0.475632262053544 	 story
1 139 0.4747093408062699 	 memory
1 140 0.4733102113216609 	 mind
1 141 0.47138736951099397 	 house
1 142 0.470953698439603 	 hilarious
1 143 0.4687868276153042 	 timeless
1 144 0.46304675273229595 	 surprise
1 145 0.4613915194146526 	 coming
1 146 0.4574510342987978 	 epic
1 147 0.4565114442644055 	 young
1 148 0.45299346019618214 	 grew
1 149 0.45211920403724576 	 hot
1 150 0.45036546533576266 	 smile
1 151 0.4500938321809068 	 proud
1 152 0.4498432023985204 	 t regret
1 153 0.44911426575704283 	 wa perfect
1 154 0.4489334316362385 	 make want
1 155 0.44816126306007564 	 rare
1 156 0.4473814251893785 	 watching
1 157 0.4473783904263757 	 relationship
1 158 0.4471503775887438 	 good stuff
1 159 0.4471131311414069 	 t miss
1 160 0.445666016037565 	 man
1 161 0.444710358357916 	 gem
1 162 0.44236074432700606 	 quick
1 163 0.4408721207198372 	 exactly wanted
1 164 0.4403099718759218 	 introduced
1 165 0.43998995931562523 	 bonus
1 166 0.43989695124553635 	 thought provoking
1 167 0.4397594722628954 	 terrific
1 168 0.4371468786809364 	 simple
1 169 0.43676564056355355 	 close original
1 170 0.4346139307249584 	 future
1 171 0.4326057674098302 	 beginning end
1 172 0.43121087728621704 	 tear
1 173 0.43061746203103984 	 masterpiece
1 174 0.43034434251646075 	 relate
1 175 0.4301650881203432 	 thanks amazon
1 176 0.4295758580830707 	 provoking
1 177 0.42927005591408 	 great song
1 178 0.4291487292894271 	 delightful
1 179 0.42876147571995066 	 didn t star
1 180 0.42809746431800966 	 wa great
1 181 0.42515088548715757 	 genius
1 182 0.42461329644354595 	 sexy
1 183 0.42381449312253217 	 night
1 184 0.4235694408502503 	 album
1 185 0.42287662140134197 	 sound great
1 186 0.4215905780245067 	 tight
1 187 0.42093808979117087 	 good download
1 188 0.42028820612774853 	 recommend
1 189 0.42026602066185526 	 ago
1 190 0.4199415100713384 	 fan
1 191 0.4183531456011061 	 boy
1 192 0.4181251509392644 	 t disappoint
1 193 0.41799864304459844 	 treat
1 194 0.4173622072256479 	 funky
1 195 0.41727227313560844 	 plus
1 196 0.4165245666844677 	 set
1 197 0.4135088371376642 	 soon
1 198 0.4127439103251954 	 driving
1 199 0.41095525685722545 	 fast download
1 200 0.4106209493659399 	 given star
1 201 0.40857818702882703 	 inspiring
1 202 0.40850203824486936 	 fit
1 203 0.408106205433373 	 add
1 204 0.4068609791452826 	 immediately
1 205 0.4062736838968086 	 written
1 206 0.40621593018800467 	 pick
1 207 0.40620014441472974 	 really enjoy
1 208 0.40478852306841256 	 jazz
1 209 0.4043954101911084 	 knew
1 210 0.4033079104370704 	 okay song
1 211 0.4020953092251227 	 song didn t like
1 212 0.40178787819100037 	 looking song
1 213 0.4017486654009459 	 ease
1 214 0.4016806175468374 	 wasn t disappointed
1 215 0.4014593755467277 	 favorite track
1 216 0.40032777459768865 	 notch
1 217 0.40032603643562387 	 glad did
1 218 0.40006221992352875 	 guy
1 219 0.4000154267185364 	 truly
1 220 0.3997643493352887 	 item described
1 221 0.39815199425796477 	 deep
1 222 0.3979282391501214 	 price
1 223 0.39770210779204695 	 stop listening
1 224 0.3935323357134372 	 addictive
1 225 0.3934725941611594 	 hit
1 226 0.3930159613680957 	 won t sorry
1 227 0.3908598146957157 	 loving
1 228 0.39077872313367085 	 favorite song
1 229 0.3895249271520454 	 attention
1 230 0.38926025150743965 	 decided
1 231 0.38884564872132504 	 instant
1 232 0.3881578397986214 	 good product
1 233 0.3863579038145065 	 just listen
1 234 0.3855952930899524 	 vinyl
1 235 0.3855480280033222 	 received thank
1 236 0.38546455140989605 	 world
1 237 0.3853984803622853 	 seeing
1 238 0.38526052429326235 	 described
1 239 0.3840933542293401 	 like don t
1 240 0.38384681443870033 	 just right
1 241 0.3838067472193126 	 groove
1 242 0.3832633062175805 	 make
1 243 0.38175209312776776 	 getting better
1 244 0.38139444325763644 	 u
1 245 0.38095199174692285 	 soul
1 246 0.3809024008680067 	 money spent
1 247 0.3807284730942899 	 just needed
1 248 0.3794180258057398 	 peaceful
1 249 0.3773403505550565 	 wedding
1 250 0.3772775199306573 	 owned
1 251 0.3770825104091143 	 just good
1 252 0.3753870053121057 	 youth
1 253 0.37484409905660776 	 exactly wa
1 254 0.37344566135871177 	 great download
1 255 0.37181709695022847 	 good sound
1 256 0.37119901552411794 	 brother
1 257 0.37087282280490935 	 t love
1 258 0.3707151554583335 	 better better
1 259 0.3692093875718621 	 familiar
1 260 0.3684457609383187 	 lover
1 261 0.368319657462034 	 dance
1 262 0.3682094366156928 	 yes
1 263 0.36740816406664945 	 heart
1 264 0.36697369603975855 	 like don
1 265 0.36538480622562913 	 convenient
1 266 0.36533475722972275 	 master
1 267 0.36472934541011415 	 favorite version
1 268 0.3646605686339736 	 reason didn t
1 269 0.3646605686339736 	 reason didn
1 270 0.36442801945281067 	 wa cracked
1 271 0.36404790644678403 	 plan
1 272 0.36372160790287084 	 wa glad
1 273 0.36277364034556053 	 highly recommended
1 274 0.36271552138888874 	 dig
1 275 0.360345837668635 	 uplifting
1 276 0.3585968775025604 	 delivers
1 277 0.3580488692000529 	 live
1 278 0.35665709112811483 	 concert
1 279 0.3559382552993507 	 school
1 280 0.3558699928289692 	 week
1 281 0.3558153451075359 	 ep
1 282 0.3552349116749106 	 kick
1 283 0.3547829347968308 	 talented
1 284 0.35453155346446924 	 chill
1 285 0.35373395394527063 	 worked
1 286 0.3534765323223119 	 listening
1 287 0.3531307310487742 	 good version
1 288 0.35310880068981043 	 calm
1 289 0.3529627750799599 	 start finish
1 290 0.3522227378373646 	 super
1 291 0.3517750268045814 	 home
1 292 0.35158816961453504 	 great original
