1 0 9.497647709217695 	 great
1 1 8.825823905291376 	 love
1 2 7.108587818851533 	 amazing
1 3 6.726289027620933 	 excellent
1 4 6.5776634488123085 	 awesome
1 5 6.293809513756247 	 beautiful
1 6 6.10214493514757 	 perfect
1 7 5.8813517883415685 	 fantastic
1 8 5.755232351941312 	 nice
1 9 5.604357548888202 	 fun
1 10 5.241962237766725 	 favorite
1 11 5.079646070775663 	 solid
1 12 4.9529175307390405 	 loved
1 13 4.639728388357084 	 wonderful
1 14 4.627509291558333 	 easy
1 15 4.560617646663107 	 glad
1 16 4.40607452274743 	 t disappointed
1 17 4.366481585779327 	 enjoyed
1 18 4.333125153268375 	 classic
1 19 4.149678018751918 	 enjoying
1 20 4.1046614915828785 	 beautifully
1 21 4.066059976811031 	 enjoy
1 22 4.005212326341208 	 disappoint
1 23 3.983709488141272 	 enjoyable
1 24 3.945872322239843 	 smooth
1 25 3.9048119930993 	 t wrong
1 26 3.8488773979971316 	 brings
1 27 3.7518630033725313 	 best
1 28 3.7322223789717768 	 lovely
1 29 3.6703946711371156 	 fresh
1 30 3.6287610636185144 	 finally
1 31 3.5681815494249833 	 catchy
1 32 3.432573075407821 	 better original
1 33 3.416400471920508 	 won t disappointed
1 34 3.395017866045089 	 unique
1 35 3.3822726407748376 	 memory
1 36 3.3708273047491257 	 moving
1 37 3.297568068587401 	 outstanding
1 38 3.209042596241299 	 upbeat
1 39 3.1808263552275395 	 haunting
1 40 3.1476674958504267 	 powerful
1 41 3.132173333052107 	 t stop
1 42 3.127024117419237 	 collection
1 43 3.0739876556949715 	 old school
1 44 3.050560287023615 	 t wait
1 45 3.0375470090421177 	 highly recommend
1 46 3.0154445242028856 	 just wa looking
1 47 2.971724800180682 	 year
1 48 2.9667032511384748 	 good
1 49 2.964816872201489 	 perfectly
1 50 2.9617957929871297 	 soulful
1 51 2.9301774159667158 	 fabulous
1 52 2.8853610427496936 	 t beat
1 53 2.880029672881909 	 reminds
1 54 2.8794730453577735 	 day
1 55 2.8735329215188687 	 pleased
1 56 2.819177737981189 	 just wanted
1 57 2.8035212708881248 	 really good
1 58 2.801840814192865 	 inspirational
1 59 2.7749427521983687 	 mood
1 60 2.7550789662770687 	 just wish
1 61 2.7288106877974574 	 loved song
1 62 2.7005256757200757 	 life
1 63 2.688682122705869 	 funky
1 64 2.682650571484457 	 highly
1 65 2.676494761808209 	 rock
1 66 2.674966547960142 	 easy download
1 67 2.674754819092393 	 thank
1 68 2.674753363780891 	 really like
1 69 2.660155034563759 	 deep
1 70 2.6546647707901867 	 discovered
1 71 2.6500494206075187 	 speaks
1 72 2.647371334585433 	 surprised
1 73 2.6398546204620175 	 like bought
1 74 2.617962483773622 	 oldie
1 75 2.593098280023245 	 nicely
1 76 2.5826716868308788 	 finest
1 77 2.573263505571288 	 driving
1 78 2.562900622125997 	 wait
1 79 2.535735223737109 	 addition
1 80 2.527624013719405 	 hilarious
1 81 2.514308661766166 	 just love
1 82 2.513438524175924 	 easily
1 83 2.5095259879034257 	 genius
1 84 2.502744407877198 	 pretty good
1 85 2.5021761095077104 	 strong
1 86 2.5002979036033985 	 relate
1 87 2.4988015493227924 	 rare
1 88 2.493255388087966 	 incredible
1 89 2.489209698224754 	 refreshing
1 90 2.4747136408858204 	 head
1 91 2.4618359719910434 	 complaint
1 92 2.4343670073737353 	 exactly
1 93 2.4339580166893953 	 just right
1 94 2.4314606526254297 	 terrific
1 95 2.4304113272027092 	 heard
1 96 2.423605174524057 	 liked
1 97 2.422081937601807 	 true
1 98 2.410346531486474 	 perfection
1 99 2.4096430602591834 	 hot
1 100 2.4040007946066555 	 soothing
1 101 2.40202384379807 	 cool
1 102 2.396554696103858 	 workout
1 103 2.3561473917916143 	 gorgeous
1 104 2.3432439980321487 	 forward
1 105 2.339410253044134 	 sweet
1 106 2.3325726114766194 	 great album
1 107 2.331778211893114 	 great song
1 108 2.327713241778827 	 delightful
1 109 2.32470102154416 	 god
1 110 2.3181389525358362 	 look forward
1 111 2.317918121960603 	 t better
1 112 2.3136714885104235 	 uplifting
1 113 2.306516001615841 	 peaceful
1 114 2.3055554578420967 	 t bad
1 115 2.3016952860494104 	 tear
1 116 2.2896503116958775 	 s good
1 117 2.278751546619975 	 watched
1 118 2.267711849170675 	 heart
1 119 2.2629899641355258 	 encouraging
1 120 2.2629769406599096 	 coming
1 121 2.2588392429713022 	 start finish
1 122 2.246770243118582 	 hooked
1 123 2.238339688255763 	 growing
1 124 2.23684478382105 	 make want
1 125 2.233982467697079 	 beginning end
1 126 2.2334137326565737 	 superb
1 127 2.232392887968745 	 vibe
1 128 2.222753209378743 	 recommend
1 129 2.2149494624132227 	 really enjoy
1 130 2.214568759700459 	 notch
1 131 2.1984973082638644 	 treat
1 132 2.189382742281414 	 check
1 133 2.1827030261457483 	 car
1 134 2.182443512285431 	 just ordered
1 135 2.1749013944780993 	 better expected
1 136 2.173163529682729 	 touching
1 137 2.157633476189945 	 like
1 138 2.1494393651887798 	 recently
1 139 2.143968245137704 	 tight
1 140 2.1409199311071068 	 price
1 141 2.1393114711163284 	 good product
1 142 2.139177328377517 	 job
1 143 2.1252490901732433 	 subjective
1 144 2.1203114456086682 	 good album
1 145 2.1096879298181683 	 smile
1 146 2.097448890356234 	 gem
1 147 2.096379286548039 	 underrated
1 148 2.080072713796396 	 happy
1 149 2.0659376263719644 	 queen
1 150 2.0650415230372965 	 dope
1 151 2.05648482566653 	 delivers
1 152 2.055499191811416 	 soon
1 153 2.053269484931311 	 stop listening
1 154 2.049136471807381 	 combination
1 155 2.0386136612257286 	 definitely
1 156 2.034456999588234 	 brilliant
1 157 2.0297501512641527 	 early
1 158 2.025419305772772 	 easier
1 159 2.0232199741855066 	 like lot
1 160 2.022022048422468 	 need said
1 161 2.0191379503197893 	 feel
1 162 2.0128346904255774 	 familiar
1 163 2.0124342413071425 	 welcome
1 164 2.0053504625078764 	 timeless
1 165 2.0053157507321244 	 addictive
1 166 2.004522221739203 	 just wa
1 167 2.002235054103108 	 proud
1 168 1.9937985853895597 	 different sound
1 169 1.9933723270965957 	 relationship
1 170 1.9818387434243 	 super
1 171 1.9783721470897762 	 faves
1 172 1.9761114795096706 	 groove
1 173 1.9750267708516231 	 jesus
1 174 1.9735574158115348 	 good song good
1 175 1.972381916741223 	 thanks
1 176 1.9700907659530713 	 t sure
1 177 1.9652612919294403 	 blend
1 178 1.9622224588282118 	 exactly wa
1 179 1.9551736152333474 	 infectious
1 180 1.9508752876485687 	 add
1 181 1.948507142260665 	 good stuff
1 182 1.9442608566339685 	 story
1 183 1.9353775728856961 	 didn t know
1 184 1.9317525259526271 	 worth listen
1 185 1.923875345990234 	 like anymore
1 186 1.9196026705409508 	 great cd
1 187 1.915681040769268 	 mind
1 188 1.9150291355069824 	 looking forward
1 189 1.9103230359225394 	 epic
1 190 1.9082889256545066 	 t regret
1 191 1.9022421511085221 	 received thank
1 192 1.8989600723948985 	 definitely worth
1 193 1.8970910505471354 	 romantic
1 194 1.8834036348109389 	 family
1 195 1.8830236499193231 	 guitar
1 196 1.8801216762967137 	 fast download
1 197 1.8788089707738183 	 dream
1 198 1.8750005853889757 	 make think
1 199 1.874953107870265 	 loving
1 200 1.8745358365227398 	 really liked
1 201 1.864716671331692 	 party
1 202 1.8593642136881265 	 ride
1 203 1.85900033677933 	 good hear
1 204 1.8486103950068804 	 immediately
1 205 1.8427796180079596 	 overall good
1 206 1.8371384306372271 	 today
1 207 1.8291710152169316 	 express
1 208 1.8247182146249321 	 fine
1 209 1.8246484354542387 	 just want
1 210 1.8231274801453805 	 wa available
1 211 1.8213610168113028 	 soul
1 212 1.8140397103016044 	 composition
1 213 1.8071897021845862 	 dancing
1 214 1.8068984041032397 	 m glad
1 215 1.805344790530282 	 favorite track
1 216 1.8019169513854962 	 bought didn t
1 217 1.8019169513854962 	 bought didn
1 218 1.8019007470908988 	 dedicated
1 219 1.7985642082610989 	 emotional
1 220 1.7977977282864144 	 better album
1 221 1.7968447447274571 	 m happy
1 222 1.7946763704398625 	 course
1 223 1.7826941282015323 	 great buy
1 224 1.7774944869946678 	 wa bit
1 225 1.7736723038646438 	 heard song
1 226 1.76612038203299 	 alive
1 227 1.7651269534325236 	 close original
1 228 1.7613297990365357 	 newborn
1 229 1.7603279857569538 	 love voice
1 230 1.7585423506702114 	 just listen
1 231 1.7527240247830589 	 lift
1 232 1.7420305654461383 	 relax
1 233 1.7415141758367725 	 magical
1 234 1.7411988574374384 	 album worth
1 235 1.7378511790271602 	 long time
1 236 1.733818370342714 	 remind
1 237 1.7325138029150198 	 grew
1 238 1.7270826443771714 	 time
1 239 1.7212483428014402 	 really nice
1 240 1.721222850587104 	 instrumentation
1 241 1.7163978429963869 	 summer
1 242 1.7147842321079465 	 considering
1 243 1.712497203836241 	 watching
1 244 1.711896200203222 	 moody
1 245 1.7117684214169495 	 em
1 246 1.711375666372038 	 worship
1 247 1.7068537905164824 	 real music
1 248 1.7051040389663847 	 simple
1 249 1.6999842740532567 	 reminder
1 250 1.6943977208016565 	 spirit
1 251 1.6942655041692882 	 timely
1 252 1.6913480231543292 	 hesitate
1 253 1.6872118749761205 	 feel good
1 254 1.6867658906437033 	 highly recommended
1 255 1.684440987171411 	 old favorite
1 256 1.6795916405966 	 good quality
1 257 1.6785236443106668 	 absolutely love
1 258 1.6751698348222974 	 wasn t sure
1 259 1.6750465926421614 	 blue
1 260 1.6737195126653441 	 new
1 261 1.673686512985524 	 wa happy
1 262 1.6714296332163794 	 need say
1 263 1.670685211313759 	 message
1 264 1.665062911637238 	 like song
1 265 1.6606846065577898 	 great sound
1 266 1.6606656180578505 	 convenient
1 267 1.6597453457837252 	 crisp
1 268 1.6499711179062746 	 quite
1 269 1.64796904117537 	 saw
1 270 1.647195941264687 	 surprisingly
1 271 1.647014841889025 	 weird al
1 272 1.6465841493583657 	 like wouldn t
1 273 1.6465841493583657 	 like wouldn
1 274 1.6440391161211056 	 disappoints
1 275 1.6437377011008985 	 funniest
1 276 1.6423836647873982 	 jam
1 277 1.6396320874405248 	 sound great
1 278 1.639317681918793 	 overall
1 279 1.6349135187270079 	 humming
1 280 1.6348278728977714 	 usual
1 281 1.634463034998919 	 worth purchase
1 282 1.6313059166814328 	 introduced
1 283 1.6290222244388106 	 chill
1 284 1.62696348717697 	 ll like
1 285 1.6215319167358493 	 doesn t love
1 286 1.6213291732441284 	 recomend
1 287 1.62083760108018 	 share
1 288 1.6188083879547766 	 lover
1 289 1.617831622672284 	 hypnotic
1 290 1.6164247386933024 	 set
1 291 1.6157593675332218 	 good sound
1 292 1.6140164352998834 	 love version
1 293 1.6128356831853319 	 good selection
1 294 1.610063705630151 	 childhood
1 295 1.609748991922347 	 jack
1 296 1.609107085093071 	 song hope
1 297 1.6073018715856395 	 seller
1 298 1.6067366856957794 	 doesn t better
1 299 1.6017745117360933 	 exactly wanted
1 300 1.6010821018503754 	 calming
1 301 1.597018046837454 	 needed
1 302 1.5968320834026195 	 youth
1 303 1.595203330641272 	 pace
1 304 1.5949455321335315 	 prayer
1 305 1.589425169163203 	 t stop listening
1 306 1.5863992458145992 	 wonderfully
1 307 1.5859233623637976 	 raw
1 308 1.5854902712003451 	 kick
1 309 1.585275374295202 	 flow
1 310 1.5837891376285433 	 ha best
1 311 1.5809087126001484 	 mp player
1 312 1.5786234020934387 	 money spent
1 313 1.5685403333039545 	 meet
1 314 1.566558950519969 	 perform
1 315 1.5664577762824674 	 second half
1 316 1.5628250838201627 	 thoughtful
1 317 1.5622110639550981 	 recommended
1 318 1.5619792509213126 	 cleaner
1 319 1.5601234232816237 	 training
1 320 1.5595102619409453 	 truly
1 321 1.5586547429663855 	 reggae
1 322 1.5534067315540367 	 presence
1 323 1.549400118662404 	 morning
1 324 1.5484598260070364 	 wa impressed
1 325 1.548045058918319 	 instant
1 326 1.5469961148503129 	 vinyl
1 327 1.5459710930294122 	 sample music
1 328 1.542514478432583 	 just buy
1 329 1.5425045935319575 	 cute
1 330 1.5409094984512506 	 minor
1 331 1.5405591125966955 	 instantly
1 332 1.5397418731871073 	 got good
1 333 1.5311949853456823 	 song day
1 334 1.5296706855466988 	 dig
1 335 1.5287558737985036 	 high energy
1 336 1.528655930674219 	 dark
1 337 1.5266510691066668 	 seeing
1 338 1.5247915558039336 	 item described
1 339 1.5243899812459927 	 game
1 340 1.5233945251131669 	 earth
1 341 1.5223162532903003 	 want dance
1 342 1.522255250630169 	 cool song
1 343 1.5109525327594349 	 helped
1 344 1.5104775603366196 	 wa easy
1 345 1.5100768617520421 	 rocking
1 346 1.5078753008049872 	 masterpiece
1 347 1.5067472394297796 	 good buy
1 348 1.5026408811283283 	 thing did
1 349 1.5026241719282498 	 anointed
1 350 1.5014319897397634 	 beautiful song
1 351 1.5001591187607557 	 eclectic
1 352 1.4999619793586059 	 pleasantly surprised
1 353 1.498935144875319 	 stellar
1 354 1.4960826742863127 	 listen ll
1 355 1.494915785189208 	 legendary
1 356 1.4941766468628175 	 george
1 357 1.486958752848287 	 better better
1 358 1.48592659184584 	 favorite song
1 359 1.485113910202191 	 bad song
1 360 1.4813727605462141 	 skip song
1 361 1.4788575895960245 	 inside
1 362 1.4749382394757549 	 violin
1 363 1.4739864747624223 	 best song
1 364 1.473087021698234 	 approach
1 365 1.4713738066549993 	 listening song
1 366 1.4704964607688364 	 park
1 367 1.4689668034250338 	 satisfied
1 368 1.4667550559905278 	 live
1 369 1.4665559513838944 	 comforting
1 370 1.4663693803111857 	 worth money
1 371 1.4649225722584436 	 high quality
1 372 1.4643024370655962 	 especially
1 373 1.4640519944676322 	 andrew
1 374 1.4630583890364421 	 did wa
1 375 1.462829597491375 	 love sound
1 376 1.4608932212480181 	 remember song
1 377 1.4568038417245308 	 jackson
1 378 1.4532625631565013 	 help
1 379 1.4519707621266025 	 okay song
1 380 1.451274575076025 	 music collection
1 381 1.450355388445104 	 blast past
1 382 1.4496821068741246 	 awesome song
1 383 1.4480260558340008 	 blessed
1 384 1.4443136801050453 	 solid album
1 385 1.4428692569062025 	 wine
1 386 1.4426774259069777 	 u
1 387 1.4422536153710075 	 exceptional
1 388 1.4406011551437614 	 somewhat
1 389 1.440300742614317 	 meaning
1 390 1.439913548426049 	 nailed
1 391 1.4347190953051967 	 twist
1 392 1.4315448369736812 	 song reminds
1 393 1.431014523954562 	 blown away
1 394 1.4309621664670966 	 s music
1 395 1.4301453498121741 	 t usually
1 396 1.4299099999382419 	 wa quick
1 397 1.4298292309101992 	 sound good
1 398 1.4275213086754743 	 song fun
1 399 1.419751661433872 	 little
1 400 1.4192737359857062 	 rotation
1 401 1.4189600349944307 	 amazon cloud
1 402 1.418327980603678 	 thought provoking
1 403 1.4181640490045289 	 metal
1 404 1.4168790546493355 	 definitely recommend
1 405 1.4150506051107434 	 went amazon
1 406 1.4145763222251804 	 stuck head
1 407 1.4141729895746993 	 featured
1 408 1.4094582110047076 	 anna
1 409 1.4078720745856819 	 cd worth
1 410 1.3992742066742527 	 coolest
1 411 1.398727539661481 	 getting better
1 412 1.3984426419950318 	 just expected
1 413 1.3966684937144702 	 t quite
1 414 1.396553635345018 	 pa
1 415 1.3948565824969767 	 calm
1 416 1.394823954642561 	 amazon cloud player
1 417 1.393772082661071 	 enjoys
1 418 1.3926064152650304 	 magic
1 419 1.3921539373110785 	 awsome
1 420 1.391084510305972 	 legend
1 421 1.389844243056587 	 current
1 422 1.387987293470673 	 alarm
1 423 1.3878608425113161 	 school
1 424 1.387677616059987 	 jazz
1 425 1.3872187633251152 	 enjoyed listening
1 426 1.3867738074629172 	 fit
1 427 1.385699787643904 	 inspiring
1 428 1.3853654022599777 	 power
1 429 1.3852489515431943 	 planet
1 430 1.3843079544764807 	 relevant
1 431 1.3832036589713184 	 arrival
1 432 1.382925843368336 	 jason
1 433 1.3821660382841385 	 treasure
1 434 1.3816730390261058 	 touch
1 435 1.381094197506716 	 song didn t like
1 436 1.378827218307593 	 favourite
1 437 1.3779800132239282 	 really enjoyed
1 438 1.3778733010718445 	 dance
1 439 1.3776274133332815 	 reminiscent
1 440 1.3753021506488063 	 old time
1 441 1.374270251995586 	 relaxing
1 442 1.3737152671868094 	 banger
1 443 1.3721847272053287 	 poignant
1 444 1.3683000390786073 	 vintage
1 445 1.3682433159520506 	 good live
1 446 1.3658995132160427 	 marvelous
1 447 1.3658610672225449 	 tire
1 448 1.3656937967459628 	 wedding
1 449 1.36548789944513 	 forever
1 450 1.3639721928443516 	 greatest
1 451 1.3607095399057985 	 lifting
1 452 1.359818421113084 	 groovy
1 453 1.3595331160901862 	 ease
1 454 1.3595087347759645 	 didn t want
1 455 1.3591234876221767 	 sensual
1 456 1.3578403750510968 	 roll
1 457 1.35750364277957 	 relaxing music
1 458 1.356483659611192 	 buy wa
1 459 1.3550266231894101 	 surprise
1 460 1.3536535327374886 	 play time
1 461 1.3509374434592096 	 period
1 462 1.3506577843979484 	 body
1 463 1.3491319145450007 	 beast
1 464 1.3482659587719525 	 warm
1 465 1.3450769437401422 	 exactly wa looking
1 466 1.343049085131997 	 tapping
1 467 1.342868301827753 	 slight
1 468 1.3410867303359078 	 daily
1 469 1.3393378531955793 	 harmony
1 470 1.3372085948291665 	 thx
1 471 1.3359229517936355 	 stunning
1 472 1.3346904008856515 	 doesn t like
1 473 1.330783743739759 	 stereo version
1 474 1.3304599333196223 	 won t regret
1 475 1.3278574122041662 	 song don t like
1 476 1.327260355722992 	 capture
1 477 1.3270143417839266 	 t disappoint
1 478 1.3263216813594623 	 slideshow
1 479 1.3252453581762793 	 danced
1 480 1.3250883624117604 	 hendrix
1 481 1.3191398463471553 	 vacation
1 482 1.3177118305573852 	 worked
1 483 1.317503589635028 	 sultry
1 484 1.31746766958741 	 bought cd
1 485 1.3162719922736679 	 got mp
1 486 1.3127878085953046 	 ready
1 487 1.308080930691664 	 fun song
1 488 1.3078513602044644 	 thrash
1 489 1.3033630413019086 	 hauntingly
1 490 1.3025401080196632 	 knocked
1 491 1.3004309292409937 	 john
1 492 1.297831977787208 	 lecrae
1 493 1.2940761221950954 	 moved
1 494 1.2926056557334773 	 delighted
1 495 1.292497407327956 	 band s
1 496 1.2923694834857868 	 download track
1 497 1.290736241405927 	 tune
1 498 1.2896586325476074 	 hit
1 499 1.2894310571143581 	 lively
0 0 -9.030553537031828 	 terrible
0 1 -8.604195535970733 	 horrible
0 2 -8.297485764432524 	 boring
0 3 -8.033116815002584 	 awful
0 4 -7.652637481084448 	 disappointing
0 5 -7.496276556148159 	 worst
0 6 -7.263502800339393 	 garbage
0 7 -6.909269337110675 	 crap
0 8 -6.809348557996009 	 suck
0 9 -6.708604510580314 	 disappointed
0 10 -6.431957067444847 	 poor
0 11 -6.29838647782628 	 sorry
0 12 -6.291462158326935 	 refund
0 13 -6.177903389251636 	 money
0 14 -6.057529519614832 	 waste
0 15 -5.889400338694517 	 deleted
0 16 -5.5580234287512145 	 unfortunately
0 17 -5.1118370123868715 	 misleading
0 18 -5.013644326773284 	 weak
0 19 -4.955088211888075 	 disappointment
0 20 -4.868927158752217 	 sound like
0 21 -4.867002934425595 	 thought
0 22 -4.787531317074911 	 ruined
0 23 -4.775532817472342 	 mistake
0 24 -4.655378939983138 	 karaoke
0 25 -4.608086108174146 	 wasted
0 26 -4.580608884244254 	 lack
0 27 -4.557772106572784 	 annoying
0 28 -4.5533030235464365 	 hate
0 29 -4.461957440803643 	 skip
0 30 -4.457631438571099 	 trash
0 31 -4.434428148378097 	 ruin
0 32 -4.3922408300296105 	 tried
0 33 -4.336374101925278 	 generic
0 34 -4.203583206744846 	 worse
0 35 -4.20034266194169 	 mediocre
0 36 -4.134373184367645 	 poorly
0 37 -3.992961726362624 	 lame
0 38 -3.961233496615425 	 trying
0 39 -3.886200072765938 	 guess
0 40 -3.8693027665030657 	 lousy
0 41 -3.7905466196892537 	 paid
