0 1 -3.4715748809540385 	 boring
0 15 -2.310633131295296 	 annoying
0 55 -1.579483594567071 	 noise
0 63 -1.4562152281053327 	 generic
0 79 -1.3400431615641137 	 repetitive
0 80 -1.3375972955702602 	 uninspired
0 91 -1.2853929304056748 	 stolen
0 108 -1.2200902466879147 	 dumb
0 129 -1.120967477607221 	 fake
0 139 -1.0762098972401781 	 ripoff
0 145 -1.05953626286681 	 irritating
0 146 -1.0569154294930032 	 explicit
0 149 -1.045007027295621 	 forced
0 150 -1.0435625998618876 	 cover
0 156 -1.030294852491236 	 painful
0 166 -0.9786293562234631 	 forgettable
0 183 -0.9229163295722435 	 bland
0 193 -0.8939636829969976 	 incomplete
0 194 -0.8931319074671495 	 slow
0 202 -0.8717996559064606 	 missing
0 203 -0.8705941186369742 	 depressing
0 205 -0.8594362290363065 	 stole
0 207 -0.8579815628334186 	 disgusting
0 210 -0.856647748786286 	 cheesy
0 221 -0.8339461563454243 	 lazy
0 222 -0.8329172244338189 	 distortion
0 224 -0.8259576454714478 	 negative
0 226 -0.8231303543058079 	 remix
0 233 -0.8092464118701456 	 flat
0 240 -0.7973308924079864 	 cheap
0 254 -0.7665637804801086 	 instrumental
0 256 -0.765676989290392 	 cover band
0 259 -0.7628558783987964 	 tribute
0 261 -0.7573440810289616 	 radio version
0 272 -0.7459323397921808 	 unfunny
0 281 -0.7356927091641109 	 profanity
0 285 -0.7287086995113383 	 dull
0 286 -0.7219927195216422 	 obnoxious
0 299 -0.7081296348643437 	 inappropriate
0 335 -0.6612707399324296 	 filler
0 336 -0.6611366621574154 	 singing
0 338 -0.6582283232453141 	 distracting
0 371 -0.6198029230679954 	 remake
0 379 -0.6115086433170043 	 abruptly
0 380 -0.6110529629121207 	 demo
0 398 -0.6005152476024688 	 distorted
0 401 -0.5970188904924772 	 childish
0 402 -0.5966849949039944 	 imitation
0 403 -0.5959273849013992 	 sound quality
0 423 -0.5795322314828555 	 loop
0 426 -0.5776779026897225 	 noisy
0 431 -0.5736096117868466 	 rushed
0 437 -0.5681481908292167 	 cliche
0 444 -0.5646063845434747 	 uninspiring
0 478 -0.5387690625392848 	 substance
0 487 -0.533396117026467 	 whiny
0 494 -0.5285171844571037 	 high pitched
0 496 -0.5254224989157966 	 mono
