1 22 1.5894136892963617 	 catchy
1 26 1.4399074048527993 	 unique
1 33 1.3105557250875342 	 smooth
1 44 1.218679908503653 	 rock
1 46 1.2066354957219734 	 powerful
1 47 1.2017842334021287 	 cool
1 50 1.1693932783787047 	 fresh
1 52 1.1579421695097647 	 moving
1 53 1.1367608581992161 	 upbeat
1 63 1.095627824691755 	 haunting
1 67 1.0700331547920776 	 deep
1 79 0.9663532945603786 	 soothing
1 81 0.9590229185336601 	 story
1 85 0.9477137821271694 	 soulful
1 106 0.8791780617505691 	 funky
1 110 0.8762985181747597 	 happy
1 114 0.8662254457023446 	 hilarious
1 115 0.8626792013062898 	 soul
1 117 0.8619299190299928 	 guitar
1 120 0.8498191123924749 	 relaxing
1 121 0.8477428979902494 	 sweet
1 122 0.8438407884103275 	 familiar
1 126 0.8366033121348562 	 dance
1 133 0.826135790870625 	 inspirational
1 147 0.7956734308588082 	 uplifting
1 152 0.7853988988032184 	 old school
1 165 0.7509015794839642 	 refreshing
1 174 0.7245707708765847 	 emotional
1 186 0.7043212263876981 	 inspiring
1 191 0.7007361079941291 	 addictive
1 195 0.6952285900060976 	 groove
1 201 0.6880017603603179 	 encouraging
1 211 0.6801418644935556 	 spirit
1 214 0.6780237042113836 	 peaceful
1 215 0.6773797535341155 	 romantic
1 221 0.6674445385236369 	 touching
1 229 0.6576174240226863 	 vibe
1 231 0.6559307417874414 	 live
1 238 0.6507378545031576 	 metal
1 250 0.6425309856487649 	 chill
1 257 0.631472795469671 	 composition
1 262 0.6278807658122443 	 dancing
1 265 0.6274099684842207 	 relax
1 270 0.6209976085662797 	 calming
1 272 0.6196646503166355 	 power
1 274 0.6156691098440614 	 modern
1 277 0.6143809664025166 	 dark
1 286 0.6059589751825222 	 infectious
1 291 0.6032347577685071 	 jazz
1 292 0.6024858993254824 	 soundtrack
1 293 0.6010044404474177 	 bass
1 302 0.5893407144255498 	 sexy
1 303 0.5891316986567069 	 harmony
1 305 0.5882185742469043 	 epic
1 315 0.5778811634506607 	 interesting
1 323 0.5715554382363399 	 usual
1 324 0.569190903846373 	 meaning
1 332 0.5657453060113018 	 funk
1 338 0.5605186568982492 	 rocking
1 345 0.5557631599868775 	 thought provoking
1 346 0.554584772565089 	 anthem
1 362 0.5445744054846723 	 violin
1 368 0.5402246861363815 	 variety
1 374 0.5349582329160584 	 simple
1 380 0.5333861142212204 	 crisp
1 382 0.5302695614576419 	 clarity
1 398 0.519482433904146 	 different sound
1 399 0.5188735158190538 	 emotion
1 407 0.5149914964664813 	 thoughtful
1 408 0.5149133958064421 	 beauty
1 417 0.5019289293913022 	 eclectic
1 423 0.5000942083608101 	 moody
1 433 0.49360561050308466 	 provoking
1 436 0.4909720623976728 	 mellow
1 443 0.48837681791888793 	 energy
1 455 0.4811835912844476 	 choir
1 465 0.4741385550314654 	 r b
1 466 0.4738403200175662 	 instrumentation
1 482 0.4674932469759229 	 humming
1 489 0.4628663477546069 	 comforting
1 494 0.46153938879458756 	 big band
1 496 0.4608642101498943 	 warm
1 497 0.46073552728477335 	 gentle
