0 14 -2.2434911153344825 	 generic
0 16 -2.209340495762898 	 predictable
0 24 -1.8276903421051127 	 grating
0 26 -1.8184750507042156 	 forgettable
0 34 -1.6642357933485896 	 repetitive
0 45 -1.505348128116991 	 vague
0 46 -1.5021240312038684 	 uninspired
0 56 -1.4193479569494112 	 drag
0 68 -1.3639331594506237 	 sleepy
0 76 -1.3010090697086816 	 flat
0 83 -1.2801713386242077 	 meandering
0 88 -1.2611310375679845 	 lyric
0 91 -1.25292970632862 	 boring
0 100 -1.2037872678140584 	 tempo
0 116 -1.1511480379713412 	 monotony
0 138 -1.0771514558856081 	 awkwardly
0 163 -1.0304471519820722 	 clumsy
0 174 -0.9986106114136306 	 heavy handed
0 190 -0.9778962126385672 	 instrumental
0 193 -0.975303190226464 	 imitation
0 216 -0.9472699200230461 	 inoffensive
0 218 -0.9444338270365867 	 bombast
0 221 -0.9400355179362936 	 derivative
0 224 -0.9341916743130381 	 tribute
0 229 -0.9282708452685479 	 banality
0 235 -0.9170909026370301 	 power chord
0 249 -0.9091604907482607 	 clunky
0 250 -0.9060026823557991 	 insipid
0 260 -0.8928059811843795 	 slog
0 261 -0.8914006376080077 	 standard
0 264 -0.8902945228494985 	 songwriting
0 265 -0.8868465515291255 	 chill
0 269 -0.8827074770343676 	 comfortable
0 270 -0.8822436026732673 	 bogged
0 272 -0.8815653421420512 	 aimless
0 285 -0.8703221215409688 	 stale
0 290 -0.8633075948620724 	 daft
0 291 -0.863265379386253 	 tuneless
0 293 -0.8623223911471231 	 processed
0 297 -0.8548198960098367 	 safe
0 301 -0.8513690975960138 	 usual
0 302 -0.8505994984426146 	 rushed
0 308 -0.8455616047976211 	 lazy
0 326 -0.8244840887650482 	 parody
0 344 -0.812333422882417 	 sexy
0 350 -0.8057635293144539 	 vapid
0 355 -0.8019403245273087 	 meander
0 361 -0.7992486905410452 	 indistinguishable
0 362 -0.7985493697874506 	 tiresome
0 363 -0.7984662941097096 	 lifeless
0 368 -0.7954874142187965 	 interchangeable
0 370 -0.7950073561937072 	 drained
0 371 -0.7945541903887119 	 effort
0 376 -0.791835761402018 	 boilerplate
0 390 -0.7831644085639201 	 midtempo
0 400 -0.7767538762573817 	 indistinct
0 407 -0.7737275195347901 	 dead end
0 410 -0.7700817169414592 	 earnestness
0 413 -0.768841131199663 	 cheap
0 416 -0.7676081818289698 	 old
0 423 -0.7630374685582592 	 underdeveloped
0 424 -0.7617808478621508 	 undercooked
0 425 -0.7616447862683563 	 mumble
0 438 -0.7543672315254758 	 drum sound
0 447 -0.7502788384831615 	 weepy
0 450 -0.7474112426965062 	 cheesy
0 455 -0.7435748675467371 	 benign
0 458 -0.7421611733807132 	 recycled
0 461 -0.740736959166283 	 noodling
0 466 -0.7388632039611199 	 unfocused
0 472 -0.7360894142254805 	 perfunctory
0 474 -0.735287215827899 	 middle ground
0 485 -0.7270637519069062 	 mixed
0 488 -0.7259759541268525 	 remixes
