0 0 -9.030553537031828 	 terrible
0 1 -8.604195535970733 	 horrible
0 2 -8.297485764432524 	 boring
0 3 -8.033116815002584 	 awful
0 4 -7.652637481084448 	 disappointing
0 5 -7.496276556148159 	 worst
0 6 -7.263502800339393 	 garbage
0 7 -6.909269337110675 	 crap
0 8 -6.809348557996009 	 suck
0 9 -6.708604510580314 	 disappointed
0 10 -6.431957067444847 	 poor
0 11 -6.29838647782628 	 sorry
0 12 -6.291462158326935 	 refund
0 13 -6.177903389251636 	 money
0 14 -6.057529519614832 	 waste
0 15 -5.889400338694517 	 deleted
0 16 -5.5580234287512145 	 unfortunately
0 17 -5.1118370123868715 	 misleading
0 18 -5.013644326773284 	 weak
0 19 -4.955088211888075 	 disappointment
0 20 -4.868927158752217 	 sound like
0 21 -4.867002934425595 	 thought
0 22 -4.787531317074911 	 ruined
0 23 -4.775532817472342 	 mistake
0 24 -4.655378939983138 	 karaoke
0 25 -4.608086108174146 	 wasted
0 26 -4.580608884244254 	 lack
0 27 -4.557772106572784 	 annoying
0 28 -4.5533030235464365 	 hate
0 29 -4.461957440803643 	 skip
0 30 -4.457631438571099 	 trash
0 31 -4.434428148378097 	 ruin
0 32 -4.3922408300296105 	 tried
0 33 -4.336374101925278 	 generic
0 34 -4.203583206744846 	 worse
0 35 -4.20034266194169 	 mediocre
0 36 -4.134373184367645 	 poorly
0 37 -3.992961726362624 	 lame
0 38 -3.961233496615425 	 trying
0 39 -3.886200072765938 	 guess
0 40 -3.8693027665030657 	 lousy
0 41 -3.7905466196892537 	 paid
0 42 -3.7880020731815494 	 original
0 43 -3.78597962461922 	 did
0 44 -3.754578004061394 	 error
0 45 -3.722601187141746 	 sadly
0 46 -3.6666939147728876 	 download
0 47 -3.6624440220262375 	 instead
0 48 -3.6295760813228264 	 low
0 49 -3.596946704073153 	 uninspired
0 50 -3.5038416937509997 	 barely
0 51 -3.4958207139498514 	 bad
0 52 -3.46830439552379 	 second
0 53 -3.4517936115414383 	 version
0 54 -3.4359304293774633 	 happened
0 55 -3.43528738288805 	 delete
0 56 -3.3913830834856027 	 sample
0 57 -3.3681521669722168 	 stink
0 58 -3.3442361728723857 	 crappy
0 59 -3.3340736394108097 	 useless
0 60 -3.3209827345678233 	 forced
0 61 -3.3137032571767837 	 unable
0 62 -3.311712272577578 	 stupid
