0 0 -15.105214853512555 	 unfortunately
0 1 -12.58345884666409 	 problem
0 2 -10.44103027430732 	 lack
0 3 -10.06189670267393 	 attempt
0 4 -8.786260555250005 	 little
0 5 -7.778317387700346 	 interesting
0 6 -7.4153798799765624 	 worse
0 7 -7.127984848573692 	 pleasant
0 8 -6.847186151606854 	 nice
0 9 -6.498386463607632 	 decent
0 10 -6.447090359962501 	 better
0 11 -6.302803369771152 	 bad
0 12 -6.1584435164020785 	 frustrating
0 13 -6.013796867852935 	 predictable
0 14 -5.982862090734499 	 try
0 15 -5.91381567516649 	 fails
0 16 -5.671469824844441 	 generic
0 17 -5.517021114819223 	 worst
0 18 -5.4194777216345775 	 fare
0 19 -5.3370394725686605 	 bland
0 20 -5.321167762838996 	 dull
0 21 -5.204285105072665 	 sadly
0 22 -5.102812585005369 	 aim
0 23 -4.904096926666185 	 promising
0 24 -4.855392961644687 	 trying
0 25 -4.832078403186012 	 intriguing
0 26 -4.767887285409913 	 forgettable
0 27 -4.674719281527527 	 ultimately
0 28 -4.51872007245496 	 grating
0 29 -4.460851045275294 	 lacking
0 30 -4.4514342440753465 	 suffers
0 31 -4.434024286018593 	 fair
0 32 -4.419107231641641 	 pretty
0 33 -4.417253214921942 	 repetitive
0 34 -4.329335180623682 	 admirable
0 35 -4.30977482669453 	 plodding
0 36 -4.300809567658609 	 t help
0 37 -4.293544707018959 	 flat
0 38 -4.292053303301196 	 need
0 39 -4.281489719518483 	 tepid
0 40 -4.249176665863714 	 memorable
0 41 -4.1711123438163025 	 alt
0 42 -4.134378045497835 	 particularly
0 43 -4.028915772005571 	 coldplay
0 44 -4.0228704732032075 	 impression
0 45 -4.015216571576865 	 t
0 46 -4.0059971994309205 	 awkward
0 47 -3.991934602026456 	 fine
0 48 -3.891313523050968 	 overly
0 49 -3.873941785761183 	 teeth
0 50 -3.870315618507658 	 meandering
0 51 -3.860854832440105 	 painfully
0 52 -3.7831205265429686 	 issue
0 53 -3.7662838182346636 	 limp
0 54 -3.7352861400379265 	 disappointing
0 55 -3.712960842874455 	 soundtrack
0 56 -3.709224956113819 	 hollywood
0 57 -3.706723756084303 	 le
0 58 -3.668103862342794 	 highlight
0 59 -3.6626864885398187 	 idea
0 60 -3.614977483079121 	 latest
0 61 -3.5811187543992165 	 anonymous
0 62 -3.570111014985295 	 exercise
0 63 -3.5621574528812268 	 serviceable
0 64 -3.5442752851271506 	 enjoyable
0 65 -3.538526575593071 	 drag
0 66 -3.524412809618822 	 sound like
0 67 -3.5145682807372434 	 shame
0 68 -3.499046300104674 	 uninspired
0 69 -3.494600080499875 	 vague
0 70 -3.47938184422553 	 feel like
0 71 -3.478406673674443 	 want
0 72 -3.4771284676310557 	 sleepy
0 73 -3.4707773507519155 	 just sound
0 74 -3.4638830207348357 	 dvd
0 75 -3.4564541397861546 	 embarrassing
0 76 -3.4563385523212693 	 sorry
0 77 -3.451715670481619 	 compelling
0 78 -3.423208051115171 	 actually
0 79 -3.4033206662034097 	 brit
0 80 -3.3877468106624766 	 rote
0 81 -3.355403469712437 	 doesn t help
0 82 -3.351603626584564 	 shortcoming
0 83 -3.3362307436416354 	 unfortunate
0 84 -3.314488861667169 	 direction
0 85 -3.293998863597027 	 lyric
0 86 -3.2871527170097465 	 passable
0 87 -3.276563637580078 	 conn
0 88 -3.2460145311638575 	 content
0 89 -3.239149787111832 	 boring
0 90 -3.2284576452979183 	 pharrell
0 91 -3.2036739695161596 	 monotony
0 92 -3.193169954585244 	 exception
0 93 -3.1776254743756187 	 dream
0 94 -3.1627625117700005 	 monotonous
0 95 -3.1595701137772894 	 competent
0 96 -3.1588361692673277 	 fail
0 97 -3.144178844321752 	 fault
0 98 -3.1401734575716214 	 platitude
0 99 -3.136182577762125 	 s hard
0 100 -3.127713336522722 	 somewhat
0 101 -3.110812735800439 	 park
0 102 -3.1096542986901827 	 best song
0 103 -3.1082075811594696 	 commendable
0 104 -3.103003195756244 	 half
0 105 -3.082933044309372 	 tempo
0 106 -3.063849356396269 	 project
0 107 -3.0590967537111524 	 moment
0 108 -3.0389122024091124 	 disappointingly
0 109 -3.030926660524973 	 leaving
0 110 -3.0214426024647714 	 s shame
0 111 -3.015683683260224 	 loses
0 112 -3.0101594360319766 	 throwback
0 113 -3.0086801936424004 	 question
0 114 -3.0007394470057354 	 hint
0 115 -2.9829311873668707 	 doesn
0 116 -2.9829311873668707 	 doesn t
0 117 -2.9686167007195983 	 lite
0 118 -2.960958561649124 	 rarely
0 119 -2.948931397555581 	 poor
0 120 -2.9403432289090934 	 awful
0 121 -2.9393257371006256 	 sort
0 122 -2.914886537737935 	 background music
0 123 -2.9029409523076066 	 anniversary
0 124 -2.8941829680319873 	 mp
0 125 -2.8928735519413955 	 annoying
0 126 -2.8894146255324564 	 overwrought
0 127 -2.8785558388416286 	 dolphin
