1 0 5.83714511479494 	 reissue
1 1 5.424665516996504 	 gorgeous
1 2 4.910581046151431 	 perfect
1 3 4.889201180510446 	 jazz
1 4 4.8589371399177494 	 music
1 5 4.83155537115586 	 beautiful
1 6 4.660906273527028 	 excellent
1 7 4.6183984819501696 	 new
1 8 4.5728193725077 	 subtle
1 9 4.402260288333203 	 layer
1 10 4.3545511784727005 	 open
1 11 4.35050341397937 	 ending
1 12 4.3303458182106915 	 simple
1 13 4.310324147279202 	 immediately
1 14 4.309491317906673 	 brilliant
1 15 4.246952645784647 	 community
1 16 4.2329970394815355 	 remarkable
1 17 4.169368468731966 	 guitar
1 18 4.160457836089389 	 confidence
1 19 4.111286537975761 	 classic
1 20 4.045221239860074 	 element
1 21 4.038690545152775 	 complex
1 22 3.9624353127934473 	 composer
1 23 3.9507348476704895 	 perfectly
1 24 3.9014064351480715 	 finally
1 25 3.8991669431170806 	 calm
1 26 3.8429342589652458 	 melodic
1 27 3.841604512513638 	 year
1 28 3.792719530048083 	 capture
1 29 3.7820903113228765 	 world
1 30 3.772316876742835 	 evocative
1 31 3.765367564887381 	 remarkably
1 32 3.6969359812829112 	 swing
1 33 3.6871992967421536 	 wa
1 34 3.6643740409558974 	 important
1 35 3.6369173204981933 	 seamlessly
1 36 3.6365397582913332 	 beauty
1 37 3.623061508766003 	 people
1 38 3.620594074753431 	 accessible
1 39 3.6198843652814636 	 truth
1 40 3.6111038486950715 	 american
1 41 3.603518683019281 	 contradiction
1 42 3.5940118443710305 	 confident
1 43 3.5648263188468343 	 flow
1 44 3.552162114329398 	 moving
1 45 3.5506150352318446 	 huge
1 46 3.5367359530129794 	 human
1 47 3.5181874335208674 	 bonus
1 48 3.506300977797032 	 class
1 49 3.502807152476988 	 heavenly
1 50 3.5015772445581828 	 today
1 51 3.497587606157006 	 everyday
1 52 3.493776824408211 	 sings
1 53 3.4797105756744284 	 date
1 54 3.4429624133945 	 beautifully
1 55 3.4426559056311756 	 consistent
1 56 3.432466954488883 	 sly
1 57 3.426023142450349 	 peak
1 58 3.403486098136165 	 zone
1 59 3.39428157198954 	 black
1 60 3.3911035912990917 	 underground
1 61 3.3556676694798298 	 scene
1 62 3.332643722392486 	 weave
1 63 3.3123649507559185 	 life
1 64 3.265316793306036 	 wordless
1 65 3.261740343098728 	 won
1 66 3.2616883082758448 	 sublime
1 67 3.2600903400801577 	 triumph
1 68 3.24704374811147 	 swan
1 69 3.218342960635001 	 sorrow
1 70 3.207135860773906 	 response
1 71 3.206913002789338 	 masterpiece
1 72 3.2045898787833345 	 conventional
1 73 3.189342172128171 	 simultaneously
1 74 3.188911386689776 	 share
1 75 3.1874818038470125 	 throat
1 76 3.162860838195484 	 tender
1 77 3.1460400041854353 	 vinyl
